Entry	Entry name	Gene names	Ensembl transcript
Q9Y5V3	MAGD1_HUMAN	MAGED1 NRAGE PP2250 PRO2292	ENST00000326587 [Q9Y5V3-1];ENST00000375695 [Q9Y5V3-2];ENST00000375722 [Q9Y5V3-1];ENST00000375772 [Q9Y5V3-1];
Q9UNF1	MAGD2_HUMAN	MAGED2 BCG1	ENST00000218439 [Q9UNF1-1];ENST00000375053 [Q9UNF1-1];ENST00000375058 [Q9UNF1-1];ENST00000375068 [Q9UNF1-1];ENST00000396224 [Q9UNF1-1];
Q9UDY8	MALT1_HUMAN	MALT1 MLT	ENST00000345724 [Q9UDY8-2];ENST00000348428 [Q9UDY8-1];
Q13495	MAMD1_HUMAN	MAMLD1 CG1 CXorf6	ENST00000262858 [Q13495-1];ENST00000370401 [Q13495-1];ENST00000426613 [Q13495-4];ENST00000432680 [Q13495-3];
Q8IZL2	MAML2_HUMAN	MAML2 KIAA1819	ENST00000524717;
O60337	MARH6_HUMAN	MARCH6 KIAA0597 RNF176 TEB4	ENST00000274140 [O60337-4];ENST00000449913 [O60337-5];ENST00000503788 [O60337-6];
P48740	MASP1_HUMAN	MASP1 CRARF CRARF1 PRSS5	ENST00000169293 [P48740-3];ENST00000296280 [P48740-2];ENST00000337774 [P48740-1];ENST00000392472 [P48740-4];
P56270	MAZ_HUMAN	MAZ ZNF801	ENST00000219782 [P56270-2];ENST00000322945 [P56270-1];ENST00000545521 [P56270-3];ENST00000562337 [P56270-4];
Q9H7P6	MB12B_HUMAN	MVB12B C9orf28 FAM125B	ENST00000361171 [Q9H7P6-1];ENST00000489637 [Q9H7P6-2];
O95243	MBD4_HUMAN	MBD4 MED1	ENST00000249910 [O95243-1];ENST00000393278 [O95243-6];ENST00000429544 [O95243-2];ENST00000503197 [O95243-3];ENST00000507208 [O95243-5];
Q8N8R3	MCATL_HUMAN	SLC25A29 C14orf69 ORNT3	ENST00000359232 [Q8N8R3-1];ENST00000392908 [Q8N8R3-2];ENST00000554912 [Q8N8R3-3];ENST00000555927 [Q8N8R3-3];ENST00000556505 [Q8N8R3-3];
D6RGH6	MCIN_HUMAN	MCIDAS IDAS MCI MCIN	ENST00000513312;
P25205	MCM3_HUMAN	MCM3	ENST00000229854 [P25205-1];ENST00000596288 [P25205-2];ENST00000616552 [P25205-2];
P33991	MCM4_HUMAN	MCM4 CDC21	ENST00000262105;ENST00000523944;
P33992	MCM5_HUMAN	MCM5 CDC46	ENST00000216122;
Q14566	MCM6_HUMAN	MCM6	ENST00000264156;
Q9Y6D9	MD1L1_HUMAN	MAD1L1 MAD1 TXBP181	ENST00000265854 [Q9Y6D9-1];ENST00000399654 [Q9Y6D9-1];ENST00000402746 [Q9Y6D9-3];ENST00000406869 [Q9Y6D9-1];
Q4G0N4	NAKD2_HUMAN	NADK2 C5orf33 MNADK NADKD1	ENST00000282512 [Q4G0N4-3];ENST00000381937 [Q4G0N4-1];ENST00000397338 [Q4G0N4-3];ENST00000514504 [Q4G0N4-2];
Q8WY41	NANO1_HUMAN	NANOS1 NOS1	ENST00000425699;
